Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,World,Agricultural Production,million t DM/yr,,3501.0726,3765.7267,4037.9015,4328.7166,4635.9269,4994.1707,5399.51,6080.5544,6917.2478,7801.9148,9091.2436,10588.9714,11665.8606,12364.4208,12910.7579,13389.0681,13749.7424,13959.8153,14016.1683,13902.0248
GCAM 4.2,SSP1-26,World,Emissions|CH4|AFOLU,Mt CH4/yr,,,175.1418408,,173.1703762,,164.5242489,,161.8195897,,156.2752766,,145.5985999,,133.7762406,,124.9004434,,116.8414719,,108.393069
GCAM 4.2,SSP1-26,World,Population,million,,,6895.882,,7545.107,,8026.539,,8348.692,,8486.018,,8443.981,,8247.938,,7914.952,,7457.846,,6906.14
IMAGE 3.0.1,ADVANCE_2020_WB2C,World,Emissions|CH4|AFOLU,Mt CH4/yr,,154.8233199,165.8002838,167.5913695,174.7154338,169.5857356,155.8895524,148.3620026,143.8190763,136.6537468,121.1072872,117.6816878,116.021267,115.2130948,114.8825291,113.7925802,113.1950777,112.4940422,111.4232697,109.8885054,108.8679276
IMAGE 3.0.1,ADVANCE_2020_WB2C,World,Population,million,,6530.547852,6921.797852,7302.094238,7671.501953,8015.398926,8327.682617,8608.792969,8857.175781,9069.899414,9242.542969,9372.134766,9459.967773,9511.283203,9531.094727,9520.347656,9480.227539,9413.564453,9325.707031,9221.214844,9103.234375
IMAGE 3.0.1,ADVANCE_2030_WB2C,World,Emissions|CH4|AFOLU,Mt CH4/yr,,154.8233199,165.8002838,167.5913695,174.7150915,175.9784675,172.7675142,155.0068588,145.0090871,138.5576324,130.9573076,121.3572478,117.4292811,116.4901146,115.1245269,113.5708827,112.6635975,111.693949,111.8880242,110.0626153,109.5669347
IMAGE 3.0.1,ADVANCE_2030_WB2C,World,Population,million,,6530.547852,6921.797852,7302.094238,7671.501953,8015.398926,8327.682617,8608.792969,8857.175781,9069.899414,9242.542969,9372.134766,9459.967773,9511.283203,9531.094727,9520.347656,9480.227539,9413.564453,9325.707031,9221.214844,9103.234375
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,World,Emissions|CH4|AFOLU,Mt CH4/yr,,156.1838305,164.9361427,172.112483,179.2311914,169.5385022,156.1409872,151.7452548,142.715759,139.7723668,127.4105933,,116.0795754,,114.9257054,,113.603018,,113.4535744,,109.5174867
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,World,Population,million,,6530.547852,6921.797852,7302.094238,7671.501953,8015.398926,8327.682617,8608.792969,8857.175781,9069.899414,9242.542969,,9459.967773,,9531.094727,,9480.227539,,9325.707031,,9103.234375
IMAGE 3.0.1,SSP1-26,World,Emissions|CH4|AFOLU,Mt CH4/yr,,153.5838779,164.3500378,,152.8119779,,133.4926729,,110.5934699,,92.48572111,,87.12287712,,83.30371296,,76.43413162,,72.92718506,,68.8475678
IMAGE 3.0.1,SSP1-26,World,Population,million,,6530.547852,6921.797852,,7576.10498,,8061.937988,,8388.762695,,8530.5,,8492.175781,,8298.950195,,7967.387207,,7510.454102,,6957.98877
IMAGE 3.0.1,SSP2-26,World,Emissions|CH4|AFOLU,Mt CH4/yr,,153.6297685,164.3694592,,174.1682173,,152.5959334,,146.0305281,,120.9204915,,112.9748927,,111.4651046,,109.2096313,,107.706655,,104.8616619
IMAGE 3.0.1,SSP2-26,World,Population,million,,6530.547852,6921.797852,,7671.501953,,8327.682617,,8857.175781,,9242.542969,,9459.967773,,9531.094727,,9480.227539,,9325.707031,,9103.234375
IMAGE 3.0.1,SSP4-26,World,Emissions|CH4|AFOLU,Mt CH4/yr,,153.8460925,165.3131368,,178.6470239,,152.7602069,,154.6153791,,125.0571954,,119.1000242,,115.2926447,,113.8864225,,112.4544678,,110.6621311
IMAGE 3.0.1,SSP4-26,World,Population,million,,6530.547852,6921.797852,,7660.201172,,8300.902344,,8818.331055,,9212.981445,,9459.842773,,9573.267578,,9592.255859,,9542.825195,,9456.296875
MESSAGE V.3,GEA_Eff_1p5C,World,Population,million,,6534.9,6931.5,,7697.8,,8331.6,,8822.7,,9169.8,,9500.6,,9665.4,,9692.6,,9617.1,,9503.6
MESSAGE V.3,GEA_Eff_1p5C_Delay2020,World,Population,million,,6534.9,6931.5,,7697.8,,8331.6,,8822.7,,9169.8,,9500.6,,9665.4,,9692.6,,9617.1,,9503.6
MESSAGE V.3,GEA_Eff_AdvNCO2_1p5C,World,Population,million,,6534.9,6931.5,,7697.8,,8331.6,,8822.7,,9169.8,,9500.6,,9665.4,,9692.6,,9617.1,,9503.6
MESSAGE V.3,GEA_Mix_1p5C_AdvNCO2_PartialDelay2020,World,Population,million,,6534.9,6931.5,,7697.8,,8331.6,,8822.7,,9169.8,,9500.6,,9665.4,,9692.6,,9617.1,,9503.6
MESSAGE V.3,GEA_Mix_1p5C_AdvTrans_PartialDelay2020,World,Population,million,,6534.9,6931.5,,7697.8,,8331.6,,8822.7,,9169.8,,9500.6,,9665.4,,9692.6,,9617.1,,9503.6
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_WB2C,World,Emissions|CH4|AFOLU,Mt CH4/yr,,147.7614517,149.3938373,,152.6364363,,140.8264609,,132.0097453,,123.9174039,,115.5476552,,102.856214,,93.2995552,,84.4744295,,78.3990082
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_WB2C,World,Population,million,,6503.13,6867.39,,7611.25,,8261.99,,8787.12,,9169.11,,9384.7,,9456.88,,9407.26,,9253.95,,9032.42
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_WB2C,World,Emissions|CH4|AFOLU,Mt CH4/yr,,147.7614517,149.3938373,,152.6367852,,156.2355406,,138.0525007,,122.9621614,,108.5819714,,95.5657636,,86.5310656,,79.9252385,,75.3376819
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_WB2C,World,Population,million,,6503.13,6867.39,,7611.25,,8261.99,,8787.12,,9169.11,,9384.7,,9456.88,,9407.26,,9253.95,,9032.42
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nobeccs,World,Population,million,6119.419922,6503.129883,6867.390137,,7611.25,,8261.990234,,8787.120117,,9169.110352,,9384.700195,,9456.879883,,9407.259766,,9253.950195,,9032.419922
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nobeccs,World,Agricultural Production,million t DM/yr,2714.573242,3417.020996,4119.476074,,4879.030273,,5700.220703,,6692.642578,,7956.54541,,9066.053711,,10013.17578,,11362.47656,,12322.58203,,12948.52148
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_none,World,Population,million,6119.419922,6503.129883,6867.390137,,7611.25,,8261.990234,,8787.120117,,9169.110352,,9384.700195,,9456.879883,,9407.259766,,9253.950195,,9032.419922
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_none,World,Agricultural Production,million t DM/yr,2714.573242,3417.020996,4119.476074,,4879.030273,,5672.382813,,6527.654785,,7518.530273,,8396.103516,,9174.576172,,9458.136719,,9766.112305,,9871.632813
MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_full,World,Population,million,6119.419922,6503.129883,6867.390137,,7611.25,,8261.990234,,8787.120117,,9169.110352,,9384.700195,,9456.879883,,9407.259766,,9253.950195,,9032.419922
MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_full,World,Agricultural Production,million t DM/yr,2714.573242,3417.020996,4119.476074,,4766.181641,,5966.421387,,6983.662109,,8292.362305,,9994.042969,,11611.85156,,13042.99414,,14065.84766,,14775.93945
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1000,World,Emissions|CH4|AFOLU,Mt CH4/yr,146.1273329,148.4991876,150.8673484,,157.9573526,,144.097595,,132.6384583,,117.859851,,104.8367949,,95.56382337,,83.89328475,,75.18003201,,67.63922714
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1000,World,Population,million,6119.419922,6503.129883,6867.390137,,7611.25,,8261.990234,,8787.120117,,9169.110352,,9384.700195,,9456.879883,,9407.259766,,9253.950195,,9032.419922
POLES ADVANCE,ADVANCE_2020_Med2C,World,Emissions|CH4|AFOLU,Mt CH4/yr,,142.1919405,147.515869,152.1450238,157.1981667,138.0875952,124.3604643,115.0713452,111.2666548,108.0770595,103.9622857,102.7729048,101.3470595,99.57168452,98.23668452,96.54147619,94.8081131,93.08469643,91.31247024,89.72972024,88.33292857
