Domain,Area,Element,Item,Year,Unit,Value
Manure Management,Australia,Stocks,Mules and Asses,2010,Head,2000
Manure Management,Australia,Manure treated (N content),Mules and Asses,2010,kg,0
Manure Management,Australia,Emissions (N2O) (Manure management),Mules and Asses,2010,gigagrams,0
Manure Management,Australia,Stocks,Poultry Birds,2010,Head,85424000
Manure Management,Australia,Manure treated (N content),Poultry Birds,2010,kg,34209756.94
Manure Management,Australia,Emissions (N2O) (Manure management),Poultry Birds,2010,gigagrams,0.2688
Manure Management,Australia,Stocks,Sheep and Goats,2010,Head,71585496
Manure Management,Australia,Manure treated (N content),Sheep and Goats,2010,kg,0
Manure Management,Australia,Emissions (N2O) (Manure management),Sheep and Goats,2010,gigagrams,0
Manure Management,Australia,Stocks,Swine,2010,Head,2289292
Manure Management,Australia,Manure treated (N content),Swine,2010,kg,24854667.24
Manure Management,Australia,Emissions (N2O) (Manure management),Swine,2010,gigagrams,0.2673
Manure Management,Austria,Stocks,Camels and Llamas,2010,,0
Manure Management,Austria,Manure treated (N content),Camels and Llamas,2010,,0
Manure Management,Austria,Emissions (N2O) (Manure management),Camels and Llamas,2010,,0
Manure Management,Austria,Stocks,Cattle,2010,Head,2026260
Manure Management,Austria,Manure treated (N content),Cattle,2010,kg,96244716.01
Manure Management,Austria,Emissions (N2O) (Manure management),Cattle,2010,gigagrams,1.1505
Manure Management,Austria,Stocks,Chickens,2010,Head,15650000
Manure Management,Austria,Manure treated (N content),Chickens,2010,kg,7053061.352
Manure Management,Austria,Emissions (N2O) (Manure management),Chickens,2010,gigagrams,0.0565
Manure Management,Austria,Stocks,Mules and Asses,2010,,0
Manure Management,Austria,Manure treated (N content),Mules and Asses,2010,,0
Manure Management,Austria,Emissions (N2O) (Manure management),Mules and Asses,2010,,0
Manure Management,Austria,Stocks,Poultry Birds,2010,Head,16345000
Manure Management,Austria,Manure treated (N content),Poultry Birds,2010,kg,8225155.185
Manure Management,Austria,Emissions (N2O) (Manure management),Poultry Birds,2010,gigagrams,0.0659
Manure Management,Austria,Stocks,Sheep and Goats,2010,Head,412897
Manure Management,Austria,Manure treated (N content),Sheep and Goats,2010,kg,723354.7713
Manure Management,Austria,Emissions (N2O) (Manure management),Sheep and Goats,2010,gigagrams,0.007
Manure Management,Austria,Stocks,Swine,2010,Head,3136967
Manure Management,Austria,Manure treated (N content),Swine,2010,kg,35799356.04
Manure Management,Austria,Emissions (N2O) (Manure management),Swine,2010,gigagrams,0.285
Manure Management,Azerbaijan,Stocks,Camels and Llamas,2010,Head,216
Manure Management,Azerbaijan,Manure treated (N content),Camels and Llamas,2010,kg,0
Manure Management,Azerbaijan,Emissions (N2O) (Manure management),Camels and Llamas,2010,gigagrams,0
Manure Management,Azerbaijan,Stocks,Cattle,2010,Head,2299700
Manure Management,Azerbaijan,Manure treated (N content),Cattle,2010,kg,7037470.836
Manure Management,Azerbaijan,Emissions (N2O) (Manure management),Cattle,2010,gigagrams,0.0637
Manure Management,Azerbaijan,Stocks,Chickens,2010,Head,21150000
Manure Management,Azerbaijan,Manure treated (N content),Chickens,2010,kg,2882734.142
Manure Management,Azerbaijan,Emissions (N2O) (Manure management),Chickens,2010,gigagrams,0.0227
Manure Management,Azerbaijan,Stocks,Mules and Asses,2010,Head,46166
Manure Management,Azerbaijan,Manure treated (N content),Mules and Asses,2010,kg,0
Manure Management,Azerbaijan,Emissions (N2O) (Manure management),Mules and Asses,2010,gigagrams,0
Manure Management,Azerbaijan,Stocks,Poultry Birds,2010,Head,22042000
Manure Management,Azerbaijan,Manure treated (N content),Poultry Birds,2010,kg,3357846.525
Manure Management,Azerbaijan,Emissions (N2O) (Manure management),Poultry Birds,2010,gigagrams,0.0264
Manure Management,Azerbaijan,Stocks,Sheep and Goats,2010,Head,8491837
Manure Management,Azerbaijan,Manure treated (N content),Sheep and Goats,2010,kg,0
Manure Management,Azerbaijan,Emissions (N2O) (Manure management),Sheep and Goats,2010,gigagrams,0
Manure Management,Azerbaijan,Stocks,Swine,2010,Head,5347
Manure Management,Azerbaijan,Manure treated (N content),Swine,2010,kg,80217.6998
Manure Management,Azerbaijan,Emissions (N2O) (Manure management),Swine,2010,gigagrams,0.002
Manure Management,Bahamas,Stocks,Camels and Llamas,2010,,0
Manure Management,Bahamas,Manure treated (N content),Camels and Llamas,2010,,0
Manure Management,Bahamas,Emissions (N2O) (Manure management),Camels and Llamas,2010,,0
Manure Management,Bahamas,Stocks,Cattle,2010,Head,750
Manure Management,Bahamas,Manure treated (N content),Cattle,2010,kg,32304.8871
Manure Management,Bahamas,Emissions (N2O) (Manure management),Cattle,2010,gigagrams,0
Manure Management,Bahamas,Stocks,Chickens,2010,Head,3000000
Manure Management,Bahamas,Manure treated (N content),Chickens,2010,kg,640394.4832
Manure Management,Bahamas,Emissions (N2O) (Manure management),Chickens,2010,gigagrams,0.005
Manure Management,Bahamas,Stocks,Mules and Asses,2010,,0
Manure Management,Bahamas,Manure treated (N content),Mules and Asses,2010,,0
Manure Management,Bahamas,Emissions (N2O) (Manure management),Mules and Asses,2010,,0
Manure Management,Bahamas,Stocks,Poultry Birds,2010,Head,3000000
Manure Management,Bahamas,Manure treated (N content),Poultry Birds,2010,kg,640394.4832
