Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_regul,World,Agricultural Production,million t DM/yr,,3545.4119,4060.0309,4627.1818,5316.1468,5799.291,6246.9187,6921.4989,7901.5976,9021.6175,9962.2743,10644.4599,11135.2741,,11637.2088,,11971.2673,,11931.0153,,11858.1495
REMIND-MAgPIE 1.7-3.0,SMP_2C_Sust,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5562,184.2016,205.3354,182.5441,172.446,158.9617,137.4689,130.942,117.3925,114.7058,109.5589,108.1937,,99.8228,,89.3647,,79.0184,,69.6908
REMIND-MAgPIE 1.7-3.0,SMP_2C_Sust,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND-MAgPIE 1.7-3.0,SMP_2C_Sust,World,Agricultural Production,million t DM/yr,,3545.4119,4060.0309,4623.1424,5129.7056,5232.118,5138.3161,5069.5337,5006.7545,5169.1828,5397.7111,5675.1035,5936.859,,6073.5141,,5947.0673,,5775.3078,,5643.5348
WITCH-GLOBIOM 3.1,SSP1-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,166.378192,168.2198646,,167.7446984,,106.5895411,,98.94737905,,93.37901868,,89.04068956,,85.37439569,,81.69903696,,77.85693926,,73.54731524
WITCH-GLOBIOM 3.1,SSP1-19,World,Population,million,,6475.09106,6868.687,,7517.782,,7999.304,,8323.014,,8462.778,,8423.916,,8232.918,,7904.034,,7450.014,,6900.876
WITCH-GLOBIOM 3.1,SSP4-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,166.378192,168.2198646,,172.4411787,,106.5813251,,98.93980948,,93.3831329,,89.05369566,,85.37546552,,81.70125741,,77.86505067,,73.53795131
WITCH-GLOBIOM 3.1,SSP4-19,World,Population,million,,6475.09106,6868.697,,7600.985,,8235.491,,8747.297,,9136.595,,9379.106,,9490.62,,9507.299,,9455.138,,9365.414
WITCH-GLOBIOM 4.2,ADVANCE_2020_1.5C-2100,World,Emissions|CH4|AFOLU,Mt CH4/yr,,166.378192,168.2198646,174.2535466,179.1305399,115.0211513,110.129818,107.0688012,103.9544402,102.016603,99.99883181,98.64198969,97.24075654,96.28848521,95.23960544,94.4118874,93.60689936,92.94998066,92.27099468,91.750338,91.22667369
WITCH-GLOBIOM 4.2,ADVANCE_2020_1.5C-2100,World,Population,million,,6396.047,6796.604,7174.698,7534.900622,7869.920995,8173.815945,8446.991124,8687.915507,8893.777156,9060.319513,9184.755219,9268.6524,9317.79976,9336.064123,9324.369068,9283.870779,9217.338525,9129.993427,9026.311563,8909.429102
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_1000,World,Emissions|CH4|AFOLU,Mt CH4/yr,,163.3187774,157.6819436,159.7389095,163.0798416,105.8617706,95.18729748,88.67794884,83.56304666,78.52989577,73.87429224,,69.54737107,,65.10747939,,60.59343318,,57.73584929,,54.00728998
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_1000,World,Population,million,,6396.5534,6804.3235,7188.323,7550.113489,7886.769888,8192.326819,8467.17146,8709.750374,8917.222013,9085.309082,,9296.361066,,9366.050027,,9315.646798,,9163.027238,,8943.236681
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_400,World,Emissions|CH4|AFOLU,Mt CH4/yr,,163.3187774,157.6819436,159.7389095,163.0798416,96.53998081,85.93840848,79.90485473,74.3258912,69.90038951,65.63191267,,61.71442724,,57.4839721,,55.55843665,,54.64118331,,54.00728998
