"Country","All Classes","Arctic","Boreal, cold","Boreal, very cold","Subtropics, cold","Subtropics, cool","Subtropics, very cold","Subtropics, warm/mod. cool","Temperate, cold","Temperate, cool","Temperate, very cold","Tropics, cool/cold/very cold","Tropics, warm","Undefined"
"Spain",504911.6848850846,0.0,0.0,0.0,3383.0818977355957,312732.40248191357,63.1248664855957,188731.03948277235,0.0,0.0,0.0,0.0,0.0,2.036156177520752
"Sri Lanka",66596.32830512524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452.1643600463867,65139.91069483757,4.253250241279602
"Suriname",146966.83437013626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146966.83437013626,0.0
"Swaziland",17331.5930544734,0.0,0.0,0.0,0.0,0.0,0.0,1436.666130065918,0.0,0.0,0.0,7443.052635014057,8451.874289393425,0.0
"Sweden",445154.95704850554,0.0,247020.97580489516,24413.9821523726,0.0,0.0,0.0,0.0,36131.39718866348,137581.31466645002,0.0,0.0,0.0,7.287236124277115
"Switzerland",41084.08965134621,0.0,0.0,0.0,307.97318744659424,176.48772430419922,4290.837225675583,0.0,5519.925716876984,25179.150138020515,5609.715659022331,0.0,0.0,0.0
"Syrian Arab Republic",188227.03736400604,0.0,0.0,0.0,0.0,14121.6235101223,0.0,174105.41385388374,0.0,0.0,0.0,0.0,0.0,0.0
"Tajikistan",141929.57535731792,0.0,0.0,0.0,20980.578631579876,43812.97682160139,27583.02634525299,0.0,12065.033678531647,17238.555476129055,20249.404404222965,0.0,0.0,0.0
"Thailand",516811.6206790805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.522798538208,516392.78254657984,9.31533396244049
"The former Yugoslav Republic of Macedonia",25370.77522224188,0.0,0.0,0.0,125.34735584259033,3515.129982292652,0.0,0.0,212.5446891784668,21517.75319492817,0.0,0.0,0.0,0.0
"Timor-Leste",14985.443274080753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.01573944091797,14721.922728002071,8.504806637763977
"Togo",57404.57223659754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57404.57223659754,0.0
"Tokelau (Associate Member)",20.39090871810913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.39090871810913,0.0
"Tonga",667.7091715335846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.624589920044,8.08458161354065
"Trinidad and Tobago",5211.562986075878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5211.562986075878,0.0
"Tunisia",155258.3942901492,0.0,0.0,0.0,0.0,291.63739132881165,0.0,154966.07232487202,0.0,0.0,0.0,0.0,0.0,0.6845739483833313
"Turkey",780142.4413198233,0.0,0.0,0.0,746.6218032836914,408491.51307988167,0.0,101700.78382354975,4486.3581738471985,264713.19855087996,0.0,0.0,0.0,3.9658883810043335
"Turkmenistan",554371.1378009915,0.0,0.0,0.0,0.0,83149.75622957945,0.0,9319.53042268753,0.0,400784.9117245078,0.0,0.0,0.0,61116.93942421675
"Tuvalu",28.99728637933731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59481430053711,3.4024720788002014
"Uganda",242847.72057056427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17883.699191629887,224964.02137893438,0.0
"Ukraine",597677.4192199111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403.5160098075867,596266.77576226,0.0,0.0,0.0,7.127447843551636
"United Arab Emirates",71531.17893826962,0.0,0.0,0.0,0.0,0.0,0.0,17169.977201223373,0.0,0.0,0.0,0.0,54358.851931750774,2.3498052954673767
"United Kingdom",242715.2351050377,0.0,28.745038390159607,0.0,0.0,0.0,0.0,0.0,20879.187663197517,221571.5688019991,232.97838592529297,0.0,0.0,2.7552155256271362
"United Republic of Tanzania",947126.7097023726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119059.03320598602,828063.3940418959,4.282454490661621
"United States of America",9300491.75628215,138186.96702232957,919854.4041951001,215472.4437390566,100579.30501174927,1556704.397228539,6268.320930480957,1644711.1206222177,247770.80842024088,4346864.86385715,91877.5479297638,1018.1899452209473,28955.149667024612,2228.23771327734
"Uruguay",178308.776237607,0.0,0.0,0.0,0.0,0.0,0.0,178307.37022471428,0.0,0.0,0.0,0.0,0.0,1.4060128927230835
"Uzbekistan",448571.7556718588,0.0,0.0,0.0,2281.813554763794,43733.71545636654,26.052770614624023,0.0,2793.2243223786354,399475.6439681649,261.30559957027435,0.0,0.0,0.0
"Vanuatu",12289.67371159792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12287.222511053085,2.451200544834137
"Venezuela (Bolivarian Republic of)",917979.4426209927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25787.672886490822,892187.5434347391,4.22629976272583
"Viet Nam",329158.9410662651,0.0,0.0,0.0,0.0,0.0,0.0,52464.37859779596,0.0,0.0,0.0,7648.446024119854,268992.7522583008,53.36418604850769
"Yemen",455889.26611208916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33879.45436954498,422005.67741554976,4.134326994419098
"Zambia",755087.6049283743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62507.40577018261,692580.1991581917,0.0
"Zimbabwe",392453.3959328532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113746.16229367256,278707.23363918066,0.0
"Sudan",1861975.7303199768,0.0,0.0,0.0,0.0,0.0,0.0,95269.05722165108,0.0,0.0,0.0,628.5841705799103,1766072.4987599254,5.590167820453644
"South Sudan",633895.5948091149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.755823135376,633202.8389859796,0.0
"Montenegro",13739.77604907751,0.0,0.0,0.0,0.0,3340.278253376484,0.0,974.7315113544464,168.08225870132446,9256.684025645256,0.0,0.0,0.0,0.0
"Serbia",88206.34326601028,0.0,0.0,0.0,98.92837542295456,37.683101654052734,0.0,0.0,147.50164258480072,87922.23014634848,0.0,0.0,0.0,0.0
