Domain|Area|Element|Item|Year|Unit|Value
Livestock Primary|Argentina|Production|Meat, Poultry|2010|tonnes|1643470
Livestock Primary|Argentina|Production|Meat, Total|2010|tonnes|4721922
Livestock Primary|Argentina|Milk Animals|Milk, Total|2010|Head|2100000
Livestock Primary|Argentina|Yield|Milk, Total|2010|hg/An|50601
Livestock Primary|Argentina|Production|Milk, Total|2010|tonnes|10626288
Livestock Primary|Argentina|Producing Animals/Slaughtered|Sheep and Goat Meat|2010|Head|5559942
Livestock Primary|Argentina|Yield/Carcass Weight|Sheep and Goat Meat|2010|hg/An|152
Livestock Primary|Argentina|Production|Sheep and Goat Meat|2010|tonnes|84311
Livestock Primary|Armenia|Production|Meat indigenous, pig|2010|Head|101500
Livestock Primary|Armenia|Yield/Carcass Weight|Meat indigenous, pig|2010|hg/An|808
Livestock Primary|Armenia|Production|Meat indigenous, pig|2010|tonnes|8201
Livestock Primary|Armenia|Producing Animals/Slaughtered|Meat, pig|2010|Head|101500
Livestock Primary|Armenia|Yield/Carcass Weight|Meat, pig|2010|hg/An|778
Livestock Primary|Armenia|Production|Meat, pig|2010|tonnes|7900
Livestock Primary|Armenia|Producing Animals/Slaughtered|Beef and Buffalo Meat|2010|Head|445000
Livestock Primary|Armenia|Yield/Carcass Weight|Beef and Buffalo Meat|2010|hg/An|1079
Livestock Primary|Armenia|Production|Beef and Buffalo Meat|2010|tonnes|48000
Livestock Primary|Armenia|Laying|Eggs Primary|2010|1000 Head|2650
Livestock Primary|Armenia|Yield|Eggs Primary|2010|100mg/An|145883
Livestock Primary|Armenia|Production|Eggs Primary|2010|tonnes|38655
Livestock Primary|Armenia|Production|Meat indigenous, poultry|2010|1000 Head|4748
Livestock Primary|Armenia|Yield/Carcass Weight|Meat indigenous, poultry|2010||0
Livestock Primary|Armenia|Production|Meat indigenous, poultry|2010|tonnes|4931
Livestock Primary|Armenia|Production|Meat indigenous, total|2010|tonnes|69100
Livestock Primary|Armenia|Producing Animals/Slaughtered|Meat, Poultry|2010|1000 Head|5200
Livestock Primary|Armenia|Yield/Carcass Weight|Meat, Poultry|2010|0.1g/An|10385
Livestock Primary|Armenia|Production|Meat, Poultry|2010|tonnes|5400
Livestock Primary|Armenia|Production|Meat, Total|2010|tonnes|69484
Livestock Primary|Armenia|Milk Animals|Milk, Total|2010|Head|641527
Livestock Primary|Armenia|Yield|Milk, Total|2010|hg/An|9367
Livestock Primary|Armenia|Production|Milk, Total|2010|tonnes|600900
Livestock Primary|Armenia|Producing Animals/Slaughtered|Sheep and Goat Meat|2010|Head|496417
Livestock Primary|Armenia|Yield/Carcass Weight|Sheep and Goat Meat|2010|hg/An|165
Livestock Primary|Armenia|Production|Sheep and Goat Meat|2010|tonnes|8184
Livestock Primary|Aruba|Production|Meat indigenous, pig|2010||0
Livestock Primary|Aruba|Yield/Carcass Weight|Meat indigenous, pig|2010||0
Livestock Primary|Aruba|Production|Meat indigenous, pig|2010||0
Livestock Primary|Aruba|Producing Animals/Slaughtered|Meat, pig|2010||0
Livestock Primary|Aruba|Yield/Carcass Weight|Meat, pig|2010||0
Livestock Primary|Aruba|Production|Meat, pig|2010||0
Livestock Primary|Aruba|Producing Animals/Slaughtered|Beef and Buffalo Meat|2010||0
Livestock Primary|Aruba|Yield/Carcass Weight|Beef and Buffalo Meat|2010||0
Livestock Primary|Aruba|Production|Beef and Buffalo Meat|2010||0
Livestock Primary|Aruba|Laying|Eggs Primary|2010||0
Livestock Primary|Aruba|Yield|Eggs Primary|2010||0
Livestock Primary|Aruba|Production|Eggs Primary|2010||0
Livestock Primary|Aruba|Production|Meat indigenous, poultry|2010||0
Livestock Primary|Aruba|Yield/Carcass Weight|Meat indigenous, poultry|2010||0
Livestock Primary|Aruba|Production|Meat indigenous, poultry|2010||0
Livestock Primary|Aruba|Production|Meat indigenous, total|2010||0
Livestock Primary|Aruba|Producing Animals/Slaughtered|Meat, Poultry|2010||0
Livestock Primary|Aruba|Yield/Carcass Weight|Meat, Poultry|2010||0
Livestock Primary|Aruba|Production|Meat, Poultry|2010||0
Livestock Primary|Aruba|Production|Meat, Total|2010||0
Livestock Primary|Aruba|Milk Animals|Milk, Total|2010||0
Livestock Primary|Aruba|Yield|Milk, Total|2010||0
Livestock Primary|Aruba|Production|Milk, Total|2010||0
Livestock Primary|Aruba|Producing Animals/Slaughtered|Sheep and Goat Meat|2010||0
Livestock Primary|Aruba|Yield/Carcass Weight|Sheep and Goat Meat|2010||0
Livestock Primary|Aruba|Production|Sheep and Goat Meat|2010||0
Livestock Primary|Australia|Production|Meat indigenous, pig|2010|Head|4603349
Livestock Primary|Australia|Yield/Carcass Weight|Meat indigenous, pig|2010|hg/An|730
Livestock Primary|Australia|Production|Meat indigenous, pig|2010|tonnes|336044
Livestock Primary|Australia|Producing Animals/Slaughtered|Meat, pig|2010|Head|4616700
Livestock Primary|Australia|Yield/Carcass Weight|Meat, pig|2010|hg/An|734
Livestock Primary|Australia|Production|Meat, pig|2010|tonnes|338734
Livestock Primary|Australia|Producing Animals/Slaughtered|Beef and Buffalo Meat|2010|Head|8273000
Livestock Primary|Australia|Yield/Carcass Weight|Beef and Buffalo Meat|2010|hg/An|2573
Livestock Primary|Australia|Production|Beef and Buffalo Meat|2010|tonnes|2128598
Livestock Primary|Australia|Laying|Eggs Primary|2010|1000 Head|11734
Livestock Primary|Australia|Yield|Eggs Primary|2010|100mg/An|148287
Livestock Primary|Australia|Production|Eggs Primary|2010|tonnes|174000
Livestock Primary|Australia|Production|Meat indigenous, poultry|2010|1000 Head|503858
Livestock Primary|Australia|Yield/Carcass Weight|Meat indigenous, poultry|2010||0
Livestock Primary|Australia|Production|Meat indigenous, poultry|2010|tonnes|922062
Livestock Primary|Australia|Production|Meat indigenous, total|2010|tonnes|4263794
